neg,neu,pos,compound
0.056,0.784,0.16,0.3182
0.046,0.924,0.03,-0.1779
0.0,0.928,0.072,0.3612
0.087,0.913,0.0,-0.4497
0.0,1.0,0.0,0.0
0.06,0.94,0.0,-0.2732
0.0,0.943,0.057,0.3612
0.044,0.956,0.0,-0.0387
0.322,0.678,0.0,-0.6908
0.131,0.78,0.089,-0.0516
0.137,0.739,0.124,0.0772
0.643,0.357,0.0,-0.5574
0.0,0.676,0.324,0.9413
0.095,0.905,0.0,-0.3182
0.0,0.828,0.172,0.8176
0.141,0.565,0.294,0.4019
0.0,0.721,0.279,0.4753
0.087,0.913,0.0,-0.296
0.0,0.667,0.333,0.6696
0.141,0.859,0.0,-0.624
0.161,0.839,0.0,-0.3182
0.079,0.88,0.041,-0.4053
0.106,0.694,0.2,0.3182
0.283,0.717,0.0,-0.7579
0.248,0.752,0.0,-0.9259
0.299,0.562,0.139,-0.8689
0.0,0.756,0.244,0.6369
0.0,1.0,0.0,0.0
0.099,0.901,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,0.896,0.104,0.296
0.0,0.538,0.462,0.938
0.371,0.629,0.0,-0.7096
0.0,0.936,0.064,0.0258
0.237,0.763,0.0,-0.7351
0.0,1.0,0.0,0.0
0.054,0.784,0.162,0.6124
0.0,1.0,0.0,0.0
0.279,0.625,0.096,-0.8316
0.041,0.642,0.317,0.9113
0.292,0.708,0.0,-0.7351
0.245,0.755,0.0,-0.8297
0.0,0.641,0.359,0.4215
0.0,1.0,0.0,0.0
0.085,0.878,0.037,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.862,0.138,0.6808
0.0,1.0,0.0,0.0
0.248,0.752,0.0,-0.765
0.15,0.85,0.0,-0.4572
0.153,0.71,0.137,-0.0772
0.0,0.872,0.128,0.2263
0.083,0.707,0.21,0.743
0.061,0.864,0.076,0.1406
0.255,0.745,0.0,-0.8625
0.0,1.0,0.0,0.0
0.06,0.819,0.122,0.3274
0.0,0.954,0.046,0.1027
0.346,0.654,0.0,-0.5719
0.13,0.757,0.113,-0.1164
0.101,0.899,0.0,-0.5574
0.419,0.581,0.0,-0.8779
0.177,0.823,0.0,-0.4215
0.186,0.621,0.192,0.0258
0.0,0.9,0.1,0.2235
0.0,1.0,0.0,0.0
0.0,0.828,0.172,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.193,0.807,0.0,-0.4767
0.081,0.75,0.169,0.34
0.111,0.78,0.109,-0.0258
0.247,0.753,0.0,-0.5574
0.046,0.907,0.046,0.0
0.104,0.896,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,0.833,0.167,0.7372
0.0,1.0,0.0,0.0
0.047,0.907,0.046,-0.0056
0.065,0.777,0.158,0.5563
0.211,0.789,0.0,-0.4939
0.229,0.771,0.0,-0.8782
0.0,0.808,0.192,0.6844
0.034,0.703,0.263,0.8567
0.037,0.963,0.0,-0.0516
0.0,1.0,0.0,0.0
0.0,0.915,0.085,0.0772
0.0,1.0,0.0,0.0
0.136,0.864,0.0,-0.4588
0.124,0.732,0.144,0.1779
0.0,1.0,0.0,0.0
0.0,0.748,0.252,0.6597
0.16,0.812,0.028,-0.7717
0.188,0.732,0.08,-0.4745
0.0,1.0,0.0,0.0
0.05,0.95,0.0,-0.3182
0.167,0.833,0.0,-0.6369
0.275,0.643,0.082,-0.8612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.138,0.799,0.063,-0.6124
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.16,0.755,0.085,-0.3818
0.155,0.811,0.034,-0.6597
0.0,1.0,0.0,0.0
0.083,0.917,0.0,-0.4588
0.052,0.948,0.0,-0.1531
0.267,0.733,0.0,-0.9201
0.231,0.769,0.0,-0.5574
0.073,0.927,0.0,-0.296
0.095,0.905,0.0,-0.5574
0.148,0.806,0.046,-0.7096
0.0,1.0,0.0,0.0
0.137,0.73,0.133,-0.0258
0.157,0.843,0.0,-0.6808
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.321,0.508,0.171,-0.714
0.14,0.673,0.188,0.2323
0.0,0.964,0.036,0.1027
0.0,1.0,0.0,0.0
0.116,0.677,0.207,0.4278
0.055,0.901,0.044,-0.128
0.31,0.69,0.0,-0.743
0.252,0.748,0.0,-0.8779
0.0,0.783,0.217,0.5574
0.0,0.903,0.097,0.4019
0.119,0.881,0.0,-0.3182
0.0,0.92,0.08,0.3804
0.0,1.0,0.0,0.0
0.136,0.72,0.144,0.3313
0.08,0.802,0.118,0.228
0.034,0.66,0.306,0.9216
0.139,0.796,0.065,-0.6681
0.113,0.709,0.177,0.2023
0.196,0.639,0.164,0.0772
0.171,0.829,0.0,-0.7783
0.07,0.93,0.0,-0.2732
0.0,0.868,0.132,0.5267
